KPI_1,KPI_4,KPI_5,KPI_6,KPI_9,KPI_10,KPI_11,KPI_12,KPI_15,KPI_16
0.034,1772113.859,218284.861,10523.780,14499.000,0.000,0.000,10.000,1772.114,218.285
0.181,7874791.030,359486.862,6306.553,7253.000,0.000,0.000,12.000,7874.791,359.487
0.592,55933597.299,2590148.906,17633.719,28386.000,0.000,0.000,29.000,55933.597,2590.149
0.241,17292051.470,1131867.538,12399.977,20701.000,0.000,0.000,33.000,17292.051,1131.868
0.212,13248512.815,575924.961,10335.871,20668.000,0.000,0.000,14.000,13248.513,575.925
0.202,15712630.097,1144802.600,13887.437,20845.000,0.000,0.000,38.000,15712.630,1144.803
0.225,21519942.778,1217013.846,15512.544,16400.000,0.000,0.000,21.000,21519.943,1217.014
0.150,6831220.922,509201.614,10666.845,16029.000,0.000,0.000,31.000,6831.221,509.202
0.333,15260398.321,1789087.418,13204.012,26490.000,0.000,0.000,31.000,15260.398,1789.087
0.229,12498226.633,898420.828,11784.580,20690.000,0.000,0.000,29.000,12498.227,898.421
0.103,15204005.456,840845.882,22457.434,34771.000,0.000,0.000,20.000,15204.005,840.846
0.101,11197355.085,863938.765,22632.824,38775.000,0.000,0.000,22.000,11197.355,863.939
0.047,3552315.851,299212.203,18288.953,45814.000,0.000,0.000,18.000,3552.316,299.212
0.117,10904133.249,465751.989,21487.231,20486.000,0.000,0.000,20.000,10904.133,465.752
0.235,20441202.395,1403374.951,19722.633,28770.000,0.000,0.000,27.000,20441.202,1403.375
0.248,19744072.727,1483867.022,16707.789,27563.000,0.000,0.000,30.000,19744.073,1483.867
0.161,7287290.105,996056.827,11346.196,20511.000,0.000,0.000,27.000,7287.290,996.057
0.027,2469946.572,381470.151,17398.661,28557.000,0.000,0.000,9.000,2469.947,381.470
0.040,2432430.836,248526.045,13585.527,25640.000,0.000,0.000,14.000,2432.431,248.526
0.304,15635131.734,1331238.067,10258.412,25422.000,0.000,0.000,36.000,15635.132,1331.238
0.049,514883.612,44423.696,7771.593,17734.000,0.000,0.000,6.000,514.884,44.424
1.064,69185197.433,3668853.575,17685.688,28059.000,0.000,0.000,57.000,69185.197,3668.854
0.189,17756320.877,1140086.487,17463.098,21099.000,0.000,0.000,34.000,17756.321,1140.086
0.141,7420449.540,629952.244,10907.323,20903.000,0.000,0.000,35.000,7420.450,629.952
0.268,12459755.757,1316859.739,12164.512,20853.000,0.000,0.000,33.000,12459.756,1316.860
0.416,18115103.234,1035537.851,8110.458,18166.000,0.000,0.000,31.000,18115.103,1035.538
0.442,27292431.821,2496816.827,11452.368,23759.000,0.000,0.000,23.000,27292.432,2496.817
0.072,3036655.809,188908.191,9102.794,8533.000,0.000,0.000,11.000,3036.656,188.908
0.180,17706984.187,941907.329,25710.377,48274.000,0.000,0.000,19.000,17706.984,941.907
0.342,45642703.993,2413696.417,35841.314,37691.000,0.000,0.000,34.000,45642.704,2413.696
0.251,28807548.591,1430862.097,26822.824,58731.000,0.000,0.000,24.000,28807.549,1430.862
0.291,33151705.236,1331106.811,16853.408,19238.000,0.000,0.000,22.000,33151.705,1331.107
0.256,12402558.243,6058548.580,8551.228,20296.000,0.000,0.000,23.000,12402.558,6058.549
0.198,8917556.372,1050809.890,13831.040,20834.000,0.000,0.000,18.000,8917.556,1050.810
0.141,5904619.540,900129.440,5743.531,33570.000,0.000,0.000,19.000,5904.620,900.129
0.109,11531013.525,236626.692,19362.827,4166.000,0.000,0.000,11.000,11531.014,236.627
0.204,34220206.839,951462.313,27439.655,41268.000,0.000,0.000,20.000,34220.207,951.462
0.681,37717636.162,2772198.106,12585.977,20718.000,0.000,0.000,37.000,37717.636,2772.198
0.253,15435373.863,963519.497,12722.184,26404.000,0.000,0.000,24.000,15435.374,963.519
0.765,69514398.082,2019521.801,21232.725,20827.000,0.000,0.000,34.000,69514.398,2019.522
0.155,24213673.661,819235.837,33304.453,40806.000,0.000,0.000,15.000,24213.674,819.236
0.252,26728675.269,2111428.972,27351.290,57349.000,0.000,0.000,23.000,26728.675,2111.429
0.037,6323961.783,195436.879,32803.163,18103.000,0.000,0.000,11.000,6323.962,195.437
