DATE,ID_0048TE-ID_0048T11#KPI_1,ID_1574AE-ID_1574A11#KPI_1,ID_1574AE-ID_1574A11#KPI_10,ID_0048TE-ID_0048T11#KPI_12,ID_1574AE-ID_1574A11#KPI_12,ID_0048TE-ID_0048T11#KPI_15,ID_1574AE-ID_1574A11#KPI_15,ID_0048TE-ID_0048T11#KPI_4,ID_1574AE-ID_1574A11#KPI_4
07-01-2019,0.335,0.328,0,18,20,57802.423,33149.283,57802422.92,33149283.05
08-01-2019,0.451,0.261,0,21,19,79397.225,27424.875,79397224.51,27424874.92
09-01-2019,0.311,0.285,0,23,21,70975.898,30744.176,70975898.01,30744175.63
10-01-2019,0.343,0.327,0,20,20,73074.83,49579.371,73074829.58,49579370.74
11-01-2019,0.416,0.332,0,26,20,104158.649,60114.927,104158649.1,60114926.88
12-01-2019,0.316,0.325,0,23,22,97806.82,48436.87,97806820.4,48436870.18
13-01-2019,0.384,0.26,0,24,19,116164.469,28358.067,116164469.5,28358067.3
14-01-2019,0.299,0.194,0,21,17,77717.389,26943.434,77717388.75,26943434.27
15-01-2019,0.348,0.148,0,19,22,90652.397,26706.151,90652397.28,26706151.12
16-01-2019,0.331,0.149,0,19,18,51825.018,18254.812,51825017.55,18254811.51
17-01-2019,0.223,0.205,0,20,19,31058.686,27130.386,31058686.22,27130385.82
18-01-2019,0.332,0.152,0,22,16,83428.616,20216.079,83428616.38,20216078.88
19-01-2019,0.297,0.165,0,26,21,112012.571,28555.637,112012571.2,28555636.67
20-01-2019,0.298,0.154,0,22,19,89302.702,23531.378,89302701.64,23531377.78
21-01-2019,0.275,0.212,0,21,19,85352.202,18866.983,85352202.33,18866983.49
22-01-2019,0.378,0.208,0,24,20,86381.652,19101.625,86381651.91,19101625.09
23-01-2019,0.269,0.262,0,26,19,57561.923,23134.205,57561922.91,23134204.89
24-01-2019,0.271,0.23,0,24,19,39977.402,19234.158,39977402.22,19234157.57
25-01-2019,0.283,0.259,0,23,20,52148.692,18073.411,52148691.71,18073411.39
27-01-2019,0.294,0.301,0,22,18,19638.351,16073.104,19638350.82,16073103.6
28-01-2019,0.287,0.296,0,19,18,37210.056,8799.525,37210055.89,8799525.469
29-01-2019,0.296,0.21,0,18,20,75197.885,19246.951,75197884.68,19246950.66
30-01-2019,0.224,0.219,0,19,19,53197.355,29786.398,53197354.54,29786398.49
31-01-2019,0.266,0.345,0,18,22,65460.517,68358.043,65460517.47,68358042.82
01-02-2019,0.273,0.331,0,17,22,59261.095,52245.275,59261094.83,52245275.43
02-02-2019,0.213,0.342,0,20,22,62240.746,62398.955,62240746.01,62398955.26
03-02-2019,0.241,0.237,0,17,21,93361.928,57977.793,93361928.29,57977792.77
04-02-2019,0.189,0.39,0,18,22,50207.121,59368.218,50207121.19,59368217.52
05-02-2019,0.288,0.246,0,17,19,45661.837,42207.148,45661837.09,42207148.34
06-02-2019,0.334,0.188,0,19,17,73878.301,15177.31,73878301,15177310.03
07-02-2019,0.361,0.349,0,17,20,28694.41,23087.049,28694410.31,23087048.79
08-02-2019,0.229,0.246,0,19,17,53693.726,46808.683,53693725.95,46808683.09
09-02-2019,0.355,0.233,0,25,19,90961.975,56088.098,90961975.45,56088098.35
10-02-2019,0.256,0.264,0,19,19,90475.543,52385.931,90475543.05,52385930.64
11-02-2019,0.187,0.346,0,26,26,23621.561,47515.855,23621561.22,47515855.11
12-02-2019,0.252,0.402,0,17,24,27476.773,74667.012,27476772.54,74667011.69
13-02-2019,0.211,0.337,0,22,23,23718.748,49072.807,23718747.5,49072806.76
14-02-2019,0.224,0.425,0,19,25,27258.311,69115.697,27258311.27,69115696.97
15-02-2019,0.271,0.344,0,19,22,40190.138,27425.535,40190138.09,27425534.64
16-02-2019,0.188,0.261,0,19,24,22161.203,40551.778,22161202.87,40551778.42
17-02-2019,0.181,0.277,0,18,21,22904.259,57282.359,22904258.59,57282359.19
18-02-2019,0.202,0.239,0,16,21,17067.83,38632.625,17067829.75,38632625.41
19-02-2019,0.293,0.217,0,18,19,60995.87,46028.338,60995870.48,46028337.57
20-02-2019,0.331,0.294,0,18,19,101152.871,46533.961,101152870.8,46533960.52
21-02-2019,0.294,0.337,0,21,20,59848.565,38183.654,59848565.45,38183653.76
22-02-2019,0.196,0.228,0,20,21,44269.522,41905.39,44269521.97,41905390.18
23-02-2019,0.204,0.27,0,18,27,74606.491,52832.291,74606491.37,52832290.66
24-02-2019,0.308,0.234,0,19,22,124105.431,43236.468,124105430.7,43236467.97
25-02-2019,0.22,0.313,0,19,19,91563.438,30980.162,91563438.17,30980161.79
26-02-2019,0.284,0.225,0,18,18,76538.092,31333.458,76538091.78,31333457.95
27-02-2019,0.246,0.259,0,24,18,64615.714,43756.405,64615714.06,43756405.41
28-02-2019,0.368,0.249,0,17,25,94849.568,31576.222,94849567.64,31576222.4
01-03-2019,0.338,0.309,0,21,20,109251.908,25196.939,109251907.7,25196939.31
02-03-2019,0.405,0.199,0,22,21,140211.668,38401.394,140211668,38401393.68
03-03-2019,0.383,0.22,0,25,23,143163.772,36027.383,143163772.1,36027383.45
